timestamp,username,result,mse,ip,userAgent,reason
2025-09-13T15:37:08.876Z,ram,Fail,0.5751061835368332,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T15:37:12.178Z,ram,Fail,640.3477486623198,::1,"node",
2025-09-13T15:37:12.963Z,ram,Fail,640.3477486623198,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T15:37:48.852Z,ram,Fail,0.2012183877653776,::1,"node",
2025-09-13T15:37:49.419Z,ram,Fail,0.2012183877653776,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T15:37:52.921Z,ram,Fail,740.5375233424754,::1,"node",
2025-09-13T15:37:53.412Z,ram,Fail,740.5375233424754,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T15:38:03.952Z,ram,Fail,0.43332634537635495,::1,"node",
2025-09-13T15:38:04.622Z,ram,Fail,0.43332634537635495,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T15:38:26.649Z,ram,Fail,0.13941325647294864,::1,"node",
2025-09-13T15:38:27.194Z,ram,Fail,0.13941325647294864,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T15:38:32.522Z,ram,Fail,928.7996555578458,::1,"node",
2025-09-13T15:38:33.108Z,ram,Fail,928.7996555578458,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T17:38:08.652Z,pak,Pass,0.013211437437744973,::1,"node",
2025-09-13T17:38:08.810Z,pak,Pass,0.013211437437744973,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T17:38:13.490Z,pak,Fail,125.47643344868199,::1,"node",
2025-09-13T17:38:14.507Z,pak,Fail,125.47643344868199,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T17:38:18.107Z,pak,Fail,,::1,"node",
2025-09-13T17:38:18.775Z,pak,Fail,,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T17:40:13.164Z,pak,Fail,0.044481973968091545,::1,"node",
2025-09-13T17:40:14.708Z,pak,Fail,0.044481973968091545,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T17:40:32.196Z,pak,Fail,1102.828922635074,::1,"node",
2025-09-13T17:40:32.955Z,pak,Fail,1102.828922635074,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T23:05:52.477Z,loki,Pass,0.01854997199366005,::1,"node",
2025-09-13T23:05:53.124Z,loki,Pass,0.01854997199366005,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T23:05:56.301Z,loki,Fail,5876.342451156919,::1,"node",
2025-09-13T23:05:56.925Z,loki,Fail,5876.342451156919,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T23:06:00.912Z,loki,Fail,,::1,"node",
2025-09-13T23:06:01.539Z,loki,Fail,,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
